                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1545,                 3.4955,                  1.706,                0.06818,                   0.48,                0.07015,                0.02352,                 2.0291,                 72.992,                 3.3841,                0.00054,                0.00054,                0.00054
                      2,                 1.0429,                 1.2567,                 1.6545,                0.06818,                   0.48,                0.07015,                0.02352,                    nan,                    nan,                    nan,              0.0010782,              0.0010782,              0.0010782
                      3,                 1.1755,                 1.1255,                 1.7382,                0.04545,                   0.08,                0.00853,                0.00122,                 4.9803,                 45.613,                 160.23,              0.0015943,              0.0015943,              0.0015943
                      4,                 1.1152,                 1.0767,                 1.7359,                0.00016,                   0.04,                  7e-05,                  1e-05,                 5.0444,                    inf,                 61.008,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.0848,                 1.0012,                 1.7135,                 0.0231,                   0.12,                0.00373,                0.00068,                 4.7961,                 11.951,                 6.0985,              0.0018812,              0.0018812,              0.0018812
                      6,                 1.0229,                0.89619,                 1.6165,                0.02831,                   0.36,                0.02113,                 0.0101,                 2.0303,                  14.66,                 3.2443,              0.0018416,              0.0018416,              0.0018416
                      7,                0.93285,                0.83539,                 1.5709,                 0.3345,                   0.56,                0.42232,                0.24619,                 1.6105,                 2.8558,                 2.7712,               0.001802,               0.001802,               0.001802
                      8,                0.89365,                0.76362,                 1.4906,                0.41434,                   0.68,                0.43267,                0.21779,                 1.7994,                 2.5057,                  2.821,              0.0017624,              0.0017624,              0.0017624
                      9,                0.79859,                0.69631,                 1.4632,                0.58271,                   0.64,                0.54821,                0.23201,                  1.874,                 3.0611,                 2.9137,              0.0017228,              0.0017228,              0.0017228
                     10,                0.73948,                0.62479,                 1.4124,                0.69816,                   0.28,                0.26607,                0.07921,                 3.8658,                 5.3652,                 4.6992,              0.0016832,              0.0016832,              0.0016832
